UNITID,STAT_AL,PRCH_AL,IDX_AL,LCOLELYN,LPBOOKS,LEBOOKS,LPMEDIA,LPCLLCT,LBRANCH,LSALWAG,LFRNGBYN,LFRNGBN,LEXMSBB,LEXMSCS,LEXMSOT,LEXMSTL,LEXOMPS,LEXOMOT,LEXOMTL,LEXPTNFB,LILLDPR,LILLDRC,LSUPPVRS
100663,1,-2,-2,2,1408535.0,64884.0,35976.0,1444511.0,2.0,4217432.0,1.0,1373625.0,210390.0,2222976.0,268485.0,2701851.0,42024.0,2057597.0,2099621.0,9018904.0,7596.0,8634.0,1
100690,2,-2,-2,2,100088.0,0.0,2052.0,102140.0,0.0,52843.0,2.0,,0.0,37169.0,504.0,37673.0,0.0,18575.0,18575.0,109091.0,1.0,29.0,1
100706,2,-2,-2,2,322648.0,34437.0,2677.0,325325.0,0.0,1113392.0,1.0,393305.0,43335.0,798516.0,7279.0,849130.0,6000.0,273973.0,279973.0,2242495.0,2023.0,2347.0,1
100724,1,-2,-2,2,432790.0,65086.0,44560.0,477350.0,0.0,,2.0,,154715.0,807014.0,3560.0,965289.0,5941.0,93998.0,99939.0,2993444.0,832.0,123.0,1
100751,2,-2,-2,2,3533794.0,870060.0,548641.0,4082435.0,5.0,6945110.0,2.0,0.0,3872500.0,5926273.0,57723.0,9856496.0,39773.0,3061223.0,3100996.0,19902602.0,18812.0,12102.0,1
100760,1,-2,-2,2,38189.0,4096.0,799.0,38988.0,1.0,207292.0,1.0,,19709.0,24400.0,0.0,44109.0,0.0,14414.0,14414.0,265815.0,0.0,0.0,2
100812,1,-2,-2,2,124400.0,70771.0,1388.0,125788.0,0.0,702063.0,1.0,215566.0,33758.0,87156.0,0.0,120914.0,5594.0,65139.0,70733.0,893710.0,149.0,147.0,1
100830,2,-2,-2,2,386660.0,60338.0,25965.0,412625.0,0.0,1110578.0,1.0,290335.0,87000.0,482064.0,435.0,569499.0,4132.0,164398.0,168530.0,1848607.0,2106.0,1110.0,1
100858,2,-2,-2,2,3472547.0,765710.0,353593.0,3826140.0,2.0,5138006.0,2.0,0.0,236718.0,5354311.0,120787.0,5711816.0,20550.0,2216832.0,2237382.0,13087204.0,15440.0,12114.0,1
100937,1,-2,-2,2,305573.0,44648.0,32003.0,337576.0,0.0,577746.0,2.0,0.0,152752.0,341411.0,25004.0,519167.0,10820.0,88073.0,98893.0,1195806.0,1497.0,1774.0,1
101028,1,-2,-2,2,50517.0,20123.0,1276.0,51793.0,0.0,,1.0,,5635.0,5648.0,3120.0,14403.0,0.0,10009.0,10009.0,204490.0,100.0,35.0,1
101073,2,-2,-2,2,60000.0,3000.0,3200.0,63200.0,0.0,203757.0,2.0,,20624.0,18000.0,12.0,38636.0,0.0,10500.0,10500.0,252893.0,0.0,12.0,2
101116,2,-2,-2,2,2802.0,30243.0,1242.0,4044.0,0.0,143799.0,1.0,,80000.0,42000.0,1750.0,123750.0,250.0,17158.0,17408.0,284957.0,27.0,22.0,1
101143,1,-2,-2,2,59277.0,8712.0,3128.0,62405.0,2.0,,1.0,,14731.0,8714.0,374.0,23819.0,620.0,10840.0,11460.0,373964.0,46.0,43.0,1
101161,1,-2,-2,2,67321.0,0.0,2682.0,70003.0,0.0,298043.0,1.0,,48300.0,11189.0,0.0,59489.0,200.0,1667.0,1867.0,359399.0,6.0,2.0,2
101189,2,-2,-2,2,258583.0,40763.0,973.0,259556.0,1.0,,2.0,,213366.0,575007.0,61230.0,849603.0,14620.0,60337.0,74957.0,1862416.0,858.0,467.0,1
101240,1,-2,-2,2,147296.0,42000.0,16234.0,163530.0,3.0,,1.0,,31350.0,22309.0,12015.0,65674.0,0.0,50295.0,50295.0,703271.0,100.0,33.0,1
101286,2,-2,-2,2,40596.0,54003.0,1376.0,41972.0,1.0,278917.0,1.0,46374.0,34398.0,23617.0,0.0,58015.0,2922.0,17768.0,20690.0,357622.0,0.0,38.0,1
101295,1,-2,-2,2,50056.0,7695.0,1081.0,51137.0,0.0,,2.0,,29460.0,48610.0,4980.0,83050.0,1465.0,939.0,2404.0,377672.0,0.0,2.0,1
101301,1,-2,-2,2,20968.0,96.0,637.0,21605.0,0.0,113156.0,1.0,,19730.0,7401.0,0.0,27131.0,0.0,0.0,0.0,140287.0,0.0,0.0,1
101365,1,-2,-2,2,5076.0,0.0,616.0,5692.0,0.0,,2.0,,6322.0,10041.0,0.0,16363.0,0.0,182.0,182.0,39545.0,0.0,0.0,1
101435,2,-2,-2,2,111610.0,63231.0,3853.0,115463.0,0.0,226989.0,1.0,14099.0,47424.0,106313.0,26532.0,180269.0,2311.0,64672.0,66983.0,474241.0,225.0,396.0,1
101453,1,-2,-2,2,71459.0,0.0,9589.0,81048.0,0.0,,1.0,,2775.0,21844.0,0.0,24619.0,0.0,0.0,0.0,76296.0,0.0,3.0,2
101462,1,-2,-2,2,18543.0,0.0,2247.0,20790.0,0.0,155818.0,1.0,,73846.0,18707.0,0.0,92553.0,0.0,4907.0,4907.0,253278.0,0.0,0.0,2
101480,2,-2,-2,2,767150.0,13027.0,38011.0,805161.0,0.0,1509844.0,1.0,564543.0,366410.0,429781.0,50000.0,846191.0,10000.0,138416.0,148416.0,2504451.0,1957.0,494.0,1
101499,1,-2,-2,2,35750.0,0.0,3110.0,38860.0,1.0,170877.0,1.0,,11824.0,13417.0,0.0,25241.0,0.0,10497.0,10497.0,206615.0,0.0,19.0,1
101505,2,-2,-2,2,135918.0,2158.0,931.0,136849.0,2.0,,1.0,,13195.0,73666.0,0.0,86861.0,0.0,18461.0,18461.0,519068.0,0.0,0.0,1
101514,1,-2,-2,2,47627.0,46359.0,773.0,48400.0,1.0,,1.0,,49647.0,27558.0,0.0,77205.0,1004.0,82381.0,83385.0,559689.0,0.0,69.0,1
101541,4,-2,-2,-1,61403.0,22232.0,7752.0,69155.0,0.0,,2.0,,17519.0,28239.0,260.0,46018.0,58.0,8903.0,8961.0,212643.0,0.0,137.0,-1
101569,2,-2,-2,2,50859.0,27008.0,1914.0,52773.0,1.0,,1.0,,28695.0,17157.0,5100.0,50952.0,0.0,93205.0,93205.0,448010.0,24.0,13.0,2
101587,1,-2,-2,2,165570.0,0.0,3112.0,168682.0,0.0,,2.0,,45084.0,141645.0,2000.0,188729.0,2296.0,36490.0,38786.0,688067.0,301.0,257.0,1
101602,2,-2,-2,2,39862.0,4076.0,2343.0,42205.0,2.0,244948.0,1.0,,21339.0,9679.0,0.0,31018.0,0.0,19540.0,19540.0,295506.0,63.0,38.0,1
101648,1,-2,-2,2,25232.0,0.0,814.0,26046.0,0.0,91143.0,2.0,,4117.0,2828.0,0.0,6945.0,1096.0,1735.0,2831.0,100919.0,0.0,0.0,1
101675,2,-2,-2,2,76096.0,0.0,2204.0,78300.0,0.0,207367.0,1.0,36215.0,21316.0,50966.0,28000.0,100282.0,0.0,21810.0,21810.0,329459.0,0.0,1.0,1
